rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3494.0,How <b>happy</b> are you right now?,0.4214163335237007,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-html-vas-response,42,402309,0.0-42.0-0.0,,,,614b90050a269c27f4746a37,10:54:22,05/03/2024
1797.0,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,html-keyboard-response,43,404108,0.0-42.0-1.0,,,,614b90050a269c27f4746a37,10:54:22,05/03/2024
4084.4000000059605,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-rest-trial-limit,44,408694,0.0-42.0-2.0,0.0,,,614b90050a269c27f4746a37,10:54:22,05/03/2024
4263.0,,"{""Q0"":""Difficult""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,45,414218,0.0-42.0-3.0,,[3],memory,614b90050a269c27f4746a37,10:54:22,05/03/2024
16704.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.7777841233580811,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-html-vas-response,46,431930,0.0-42.0-4.0,,,engagement1,614b90050a269c27f4746a37,10:54:22,05/03/2024
5505.0,,"{""Q0"":""Yes""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,47,438691,0.0-42.0-5.0,,[0],engagement2,614b90050a269c27f4746a37,10:54:22,05/03/2024
41595.89999999106,,"{'Q0': 'no, i did not'}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-survey-text,48,481041,0.0-42.0-6.0,,,engagement3,614b90050a269c27f4746a37,10:54:22,05/03/2024
19448.0,,"{""Q0"":""Different room + Same computer""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,49,501745,0.0-42.0-7.0,,[2],environment1,614b90050a269c27f4746a37,10:54:22,05/03/2024
30215.29999999702,,{'Q0': 'it was different than than anything i have ever done before'},tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-survey-text,50,532714,0.0-42.0-8.0,,,comment1,614b90050a269c27f4746a37,10:54:22,05/03/2024
2088.4000000059605,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,html-keyboard-response,206,1112967,0.0-44.0-0.0,,,,614b90050a269c27f4746a37,10:54:22,05/03/2024
5208.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.5548543689320389,tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-html-vas-response,207,1119688,0.0-44.0-1.0,,,state_stress,614b90050a269c27f4746a37,10:54:22,05/03/2024
4484.0,,"{""Q0"":""Good""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,208,1125430,0.0-44.0-2.0,,[1],sleep1,614b90050a269c27f4746a37,10:54:22,05/03/2024
6600.0,,"{""Q0"":""Average""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,209,1132788,0.0-44.0-3.0,,[2],sleep2,614b90050a269c27f4746a37,10:54:22,05/03/2024
3236.0,,"{""Q0"":""Good""}",tgyJIug6XYM1SFXJT5EK8pEwjpl1,tgyJIug6XYM1SFXJT5EK8pEwjpl1,delaylearn,survey,lmdlab-evan-quiz,210,1136782,0.0-44.0-4.0,,[1],sleep3,614b90050a269c27f4746a37,10:54:22,05/03/2024
