trial,sort,pattern_stimuli,choice_stimuli_1,choice_stimuli_2,correct_answer,rewarded_answer,prob_violation,condition,feedback_time_duration,mood_rating,leftright_counter,repetition,pair,stim1,stim2,stim_left,stim_right,raw_choice_stimuli_1,raw_choice_stimuli_2,feedback,raw_correct_answer,raw_rewarded_answer,longdelay,break_trial
1,1,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,0,medhigh,3000,0,1,1,1,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0
2,3,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,0,medhigh,3000,0,1,1,1,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0
3,5,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,j,0,medlow,3000,0,0,1,1,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,0,f,j,0,0
4,4,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,f,0,medhigh,3000,1,0,1,1,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,f,f,0,0
5,6,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,0,medhigh,3000,0,1,1,1,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0
6,2,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,f,0,medhigh,3000,0,0,1,1,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,f,f,0,0
7,37,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,0,0,1,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
8,109,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,0,1,1,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
9,91,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,0,1,1,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
10,19,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,1,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
11,127,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,1,0,1,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
12,73,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,1,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
13,55,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,1,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
