rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8245,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,45,433443,0.0-22.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
3793,0.42768154616571286,,delaylearn,survey,state_stress,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-html-vas-response,62,532781,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
3663,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,63,537227,0.0-29.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
3533,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,64,541528,0.0-30.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
3232,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,65,545535,0.0-31.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
5924,"{""Q0"":""Learned much better with longer delay""}",[3],delaylearn,survey,delay2,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,67,565782,0.0-33.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
5938,0.4609374989651971,,delaylearn,survey,delay3,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-html-vas-response,68,573257,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
6005,0.4131944421448825,,delaylearn,survey,mood1,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-html-vas-response,69,580809,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
87159,0.994845986571074,,delaylearn,survey,engagement1,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-html-vas-response,70,669515,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
6226,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-evan-quiz,71,676514,0.0-37.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
53528,{'Q0': 'No. I did not experience any. I only didnt respond on time in some cases because I was trying to figure out which response would earn me more points'},,delaylearn,survey,engagement3,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-survey-text,72,730822,0.0-38.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
33979,{'Q0': 'The study was clear\n I only wished there were better hints regarding which will make me lucky'},,delaylearn,survey,comment1,0WkZqo6H3MW5HmHyy9f5yTJi22A2,not found,lmdlab-survey-text,73,765561,0.0-39.0,,,634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
