rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
10158.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,69,268903,0.0-22.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
4579.0,0.733227949844604,,delaylearn,survey,state_stress,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-html-vas-response,86,321782,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60650e72f3359295eb889c0f,15:53:07,26/03/2024
5689.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,87,328232,0.0-29.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
3765.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,88,332752,0.0-30.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
3022.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,89,336539,0.0-31.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
4815.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,91,343362,0.0-33.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
4077.0,0.6605179398148148,,delaylearn,survey,delay3,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-html-vas-response,92,348959,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60650e72f3359295eb889c0f,15:53:07,26/03/2024
4049.0,0.2901475694444444,,delaylearn,survey,mood1,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-html-vas-response,93,354524,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60650e72f3359295eb889c0f,15:53:07,26/03/2024
2605.0,0.8148509837962963,,delaylearn,survey,engagement1,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-html-vas-response,94,358644,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60650e72f3359295eb889c0f,15:53:07,26/03/2024
7743.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-evan-quiz,95,367148,0.0-37.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
8982.699999928474,{'Q0': 'none'},,delaylearn,survey,engagement3,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-survey-text,96,376891,0.0-38.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
17619.299999952316,{'Q0': 'very enjoyable'},,delaylearn,survey,comment1,5daadfWtCygfG1fq7ZpLQY7Iir73,lmdlab-survey-text,97,395270,0.0-39.0,,,60650e72f3359295eb889c0f,15:53:07,26/03/2024
