rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,participant,rest_warning,exp_name,exp_stage,subjectID,databaseID,test_part,counterbal,stim1,stim2,stim_left,stim_right,chosen_stim_left,chosen_stim_right,leftright_counter,pair,delay,response_correct,chosen_stim,confidence,value_true,text,userinteract,stim,choice_idxs,q_name,response_longshort,labels,response_string,response_times,question_order
12270,,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",lmdlab-evan-quiz,69,212183,0.0-22.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[3],delay1,,,,,
4716,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.62088728,lmdlab-html-vas-response,86,272000,0.0-28.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,state_stress,,"[""1<br>Low<br>stress"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10<br>High<br>stress""]",,,
3731,,"{""Q0"":""Average""}",lmdlab-evan-quiz,87,276491,0.0-29.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[2],sleep1,,,,,
3317,,"{""Q0"":""Average""}",lmdlab-evan-quiz,88,280569,0.0-30.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[2],sleep2,,,,,
3388,,"{""Q0"":""Average""}",lmdlab-evan-quiz,89,284711,0.0-31.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[2],sleep3,,,,,
7939,,"{""Q0"":""Shorter delay""}",lmdlab-evan-quiz,91,296397,0.0-33.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[1],delay2,,,,,
5820,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,0.541666667,lmdlab-html-vas-response,92,303738,0.0-34.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,delay3,,"[""Not at all frustrated by long feedback delays"",""Somewhat frustrated"",""Very frustrated by long feedback delays""]",,,
8858,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,0.68287037,lmdlab-html-vas-response,93,314128,0.0-35.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,mood1,,"[""Not at all frustrated by mood ratings"",""Somewhat frustrated"",""Very frustrated by mood ratings""]",,,
3010,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.993091689,lmdlab-html-vas-response,94,318658,0.0-36.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,engagement1,,"[""Not at all engaged"",""Very engaged""]",,,
6247,,"{""Q0"":""Yes""}",lmdlab-evan-quiz,95,325668,0.0-37.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,[0],engagement2,,,,,
14928,,"{""Q0"":""My phone went off with a message but I didnt check it""}",lmdlab-survey-text,96,341353,0.0-38.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,engagement3,,,,,
24090.6,,"{""Q0"":""I enjoyed the different patterns, didnt enjoy that there didnt seem to be consistent across the board with the outcomes of choices.""}",lmdlab-survey-text,97,366210,0.0-39.0,,,delaylearn,survey,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,comment1,,,,,
