rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
4199.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,45,166129,0.0-22.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
2931.0,0.4211499303397278,,delaylearn,survey,state_stress,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-html-vas-response,62,217641,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
3332.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,63,221736,0.0-29.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
3475.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,64,225972,0.0-30.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
2447.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,65,229183,0.0-31.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
5170.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,67,238458,0.0-33.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
3088.0,0.49385127314814814,,delaylearn,survey,delay3,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-html-vas-response,68,243053,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
3896.0,0.4352092978395062,,delaylearn,survey,mood1,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-html-vas-response,69,248471,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
3216.0,0.9467954282407407,,delaylearn,survey,engagement1,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-html-vas-response,70,253207,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
2968.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-evan-quiz,71,256944,0.0-37.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
8255.900000035763,{'Q0': 'None'},,delaylearn,survey,engagement3,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-survey-text,72,265955,0.0-38.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
12580.800000011921,"{'Q0': ""I didn't really enjoy the long pauses.""}",,delaylearn,survey,comment1,VyAircIRMjS4AZt6yDct5uKKu4Y2,lmdlab-survey-text,73,279301,0.0-39.0,,,607d6e86f96c147cf2b3223c,12:47:08,26/02/2024
