rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,participant,rest_warning,exp_name,exp_stage,subjectID,databaseID,test_part,counterbal,stim1,stim2,stim_left,stim_right,chosen_stim_left,chosen_stim_right,leftright_counter,pair,delay,response_correct,chosen_stim,confidence,value_true,text,userinteract,stim,choice_idxs,q_name,response_longshort,labels,response_string,response_times,question_order
3663.9,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,html-button-response,98,369875,0.0-40.0-0.0,,,survey,introduction,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
3485.9,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,html-button-response,99,373363,0.0-40.0-1.0,,,survey,introduction,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
3296.4,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,100,376660,0.0-40.0-2.0-0.0-0.0,,,survey,PHQ9,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,101,415211,0.0-40.0-2.0-0.0-1.0,,,survey,PHQ9,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""PHQ1"":1,""PHQ2"":1,""PHQ3"":3,""PHQ4"":3,""Catch"":0,""PHQ5"":3,""PHQ6"":2,""PHQ7"":1,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":2077088.700000003,""PHQ1"":2519.7999999970198,""PHQ2"":4136.5999999940395,""PHQ3"":7276.0999999940395,""PHQ4"":9878,""Catch"":12889.29999999702,""PHQ5"":15418.79999999702,""PHQ6"":17745.89999999106,""PHQ7"":25462.29999999702,""PHQ8"":31168.20000000298,""PHQ9"":36164.79999999702}","[0,1,2,3,4,5,6,7,8,9]"
22140.5,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,102,437353,0.0-40.0-2.0-1.0-0.0,,,survey,STICSA,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,103,510304,0.0-40.0-2.0-1.0-1.0,,,survey,STICSA,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""STICSA2"":2,""STICSA6"":2,""STICSA7"":2,""STICSA8"":1,""STICSA12"":1,""STICSA14"":1,""Catch"":3,""STICSA15"":1,""STICSA18"":1,""STICSA20"":0,""STICSA21"":1}","{""trialStart"":2137781.799999997,""STICSA2"":47358.40000000596,""STICSA6"":48950.60000000894,""STICSA7"":50383.20000000298,""STICSA8"":51839.90000000596,""STICSA12"":53401,""STICSA14"":55071.5,""Catch"":56797.79999999702,""STICSA15"":60615.29999999702,""STICSA18"":64306.70000000298,""STICSA20"":68887,""STICSA21"":70471.40000000596}","[0,1,2,3,4,5,6,7,8,9,10]"
3969.6,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,104,514275,0.0-40.0-2.0-2.0-0.0,,,survey,MASQ_7,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,105,544916,0.0-40.0-2.0-2.0-1.0,,,survey,MASQ_7,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""MASQ1"":2,""MASQ5"":1,""MASQ9"":2,""MASQ11"":1,""MASQ15"":1,""MASQ19"":2,""MASQ23"":0,""MASQ25"":1,""HADS2"":2,""HADS6"":2}","{""trialStart"":2214705,""MASQ1"":4859.5,""MASQ5"":7037.9000000059605,""MASQ9"":9363.09999999404,""MASQ11"":12550.59999999404,""MASQ15"":14744.40000000596,""MASQ19"":17803.79999999702,""MASQ23"":22004.70000000298,""MASQ25"":23467.5,""HADS2"":27132.90000000596,""HADS6"":28486.29999999702}","[0,1,2,3,4,5,6,7,8,9]"
3673.9,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,106,548592,0.0-40.0-2.0-3.0-0.0,,,survey,STAI,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,107,626046,0.0-40.0-2.0-3.0-1.0,,,survey,STAI,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""STAI1"":1,""STAI3"":0,""STAI4"":1,""STAI6"":0,""STAI7"":0,""STAI8"":1,""STAI9"":2,""STAI10"":1,""STAI11"":1,""STAI12"":2,""STAI13"":1,""STAI14"":0,""Catch"":3,""STAI15"":2,""STAI16"":1,""STAI17"":2,""STAI18"":2,""STAI19"":1,""STAI20"":2,""BDI5"":0,""LOTR1"":1,""RRQ3"":3}","{""trialStart"":2249022.5,""STAI1"":1954.4000000059605,""STAI3"":3495.7999999970198,""STAI4"":6503.9000000059605,""STAI6"":10475.40000000596,""STAI7"":12236.29999999702,""STAI8"":14660.40000000596,""STAI9"":19266.70000000298,""STAI10"":21511.29999999702,""STAI11"":23933.59999999404,""STAI12"":26036.09999999404,""STAI13"":27852.29999999702,""STAI14"":31377.40000000596,""Catch"":33994.79999999702,""STAI15"":37660.29999999702,""STAI16"":44585.59999999404,""STAI17"":48964.59999999404,""STAI18"":53584.29999999702,""STAI19"":55196,""STAI20"":58447.5,""BDI5"":63872.5,""LOTR1"":70655.29999999702,""RRQ3"":75191.29999999702}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]"
